NOME,IDADE,CPF
James,22,56696807071
Felipe,33,68900286005
Carlos,40,34382606039
Davi,17,11262123003
Soane,35,28740846032
Lucas,28,12345678901
Mariana,34,98765432100
Gabriel,22,10293847566
Ana,41,56473829100
Felipe,30,99887766554
Carla,25,11223344556
Rafael,37,66778899011
Juliana,29,22334455667
Bruno,33,33445566778
Camila,26,44556677889
Vinicius,40,55667788990
Larissa,31,66778899012
André,38,77889900123
Paula,27,88990011234
Mateus,35,99001122345
Bianca,24,10111213141
Eduardo,39,12131415161
Fernanda,32,13141516171
Gustavo,36,14151617181
Amanda,23,15161718191
Thiago,42,16171819202
Bruna,28,17181920212
Leandro,30,18192021222
Patrícia,34,19202122232
Diego,27,20212223242
Renata,31,21222324252
Felipe,29,22232425262
Camila,26,23242526272
Rafael,33,24252627282
Juliana,35,25262728292
Lucas,28,26272829302
Mariana,30,27282930312
Gabriel,37,28293031322
Ana,25,29303132332
Felipe,36,30313233342
Carla,29,31323334352
Rafael,31,32333435362
Juliana,27,33343536372
Bruno,32,34353637382
Camila,28,35363738392
Vinicius,40,36373839402
Larissa,34,37383940412
André,38,38404142422
Paula,26,39414243432
Mateus,35,40414243442
Bianca,24,41424344452
Eduardo,39,42434445462
Fernanda,32,43444546472
Gustavo,36,44454647482
Amanda,23,45464748492
Thiago,42,46474849502
